,TSP,TSP Name,TSP FERC CID,Date/Time,Comments,Loc,Loc Name,Dir Flo,Loc Cnty,Loc St Abbrev,Loc Type Ind,Loc Zone (Rec),Loc Zone (Del),Seg Nbr,Nom Ind,Loc Stat Ind,Eff Date,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,Up/Dn Loc 2,Up/Dn Loc Name2,Update D/T,download_link,name,category
0,89891472,KM KEYSTONE GAS STORAGE,C001422,20220821 01:30,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47713,TRNSWEST/KGS  WINKLER,B,WINKLER,TX,INT,,,100.0,Y,A,20150801.0,,Y,TRANSWESTERN PIPELINE COMPANY  LLC,7933047.0,4157.0,Y,C000076,,,,,20160401 10:22,https://pipeline2.kindermorgan.com/LocationDataDownload/LocDataDwnld.aspx?code=KGS,Keystone Gas Storage,Other
1,89891472,KM KEYSTONE GAS STORAGE,C001422,20220821 01:30,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47714,EPNG/KGS  WINKLER,B,WINKLER,TX,INT,,,100.0,Y,A,20150801.0,,Y,EL PASO NATURAL GAS COMPANY  L.L.C.,8001703.0,1279.0,Y,C000967,,,,,20161117 15:00,https://pipeline2.kindermorgan.com/LocationDataDownload/LocDataDwnld.aspx?code=KGS,Keystone Gas Storage,Other
2,89891472,KM KEYSTONE GAS STORAGE,C001422,20220821 01:30,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47715,NNG/KGS  WINKLER,B,WINKLER,TX,INT,,,100.0,Y,A,20150801.0,,Y,NORTHERN NATURAL GAS COMPANY,784158214.0,2950.0,Y,C000060,,,,,20160401 10:22,https://pipeline2.kindermorgan.com/LocationDataDownload/LocDataDwnld.aspx?code=KGS,Keystone Gas Storage,Other
3,89891472,KM KEYSTONE GAS STORAGE,C001422,20220821 01:30,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,48430,KGS/KGS RETAINED STORAGE NOT KNOWN,B,NOT KNOWN EITHER,,UNKNOWN,,,,N,I,,20150401.0,N,,,,,,,,,,20160401 10:22,https://pipeline2.kindermorgan.com/LocationDataDownload/LocDataDwnld.aspx?code=KGS,Keystone Gas Storage,Other
4,89891472,KM KEYSTONE GAS STORAGE,C001422,20220821 01:30,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,48432,KGS/KGS KEYSTONE STORAGE FIELD NOT,B,NOT KNOWN EITHER,,INT,,,,N,I,,20150401.0,N,,,,,,,,,,20160401 10:22,https://pipeline2.kindermorgan.com/LocationDataDownload/LocDataDwnld.aspx?code=KGS,Keystone Gas Storage,Other
5,89891472,KM KEYSTONE GAS STORAGE,C001422,20220821 01:30,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,48433,KGS/KGS KEYSTONE RETAINED FUEL INV.,B,NOT KNOWN EITHER,,INT,,,,N,I,,20150401.0,N,,,,,,,,,,20160401 10:22,https://pipeline2.kindermorgan.com/LocationDataDownload/LocDataDwnld.aspx?code=KGS,Keystone Gas Storage,Other
6,89891472,KM KEYSTONE GAS STORAGE,C001422,20220821 01:30,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,800715,(TCS) STORAGE INJ/WTD,B,MORGAN,CO,STR,,,100.0,Y,A,20141101.0,,N,,,,,,,,,,20160401 10:22,https://pipeline2.kindermorgan.com/LocationDataDownload/LocDataDwnld.aspx?code=KGS,Keystone Gas Storage,Other
